# C380-221 CERTIFICATE (official, batch 1)
# initial division N0=4 (h=pi/4); bisection: longest edge, tie-break a,b,c
# depth cap 12; outward inflation 1e-12; strict criterion L > 1/2
# a1 a2 b1 b2 c1 c2 witness_q certified_lower_bound
2.8470683423157501 2.8961557275280905 1.9144080232812801 1.9634954084936207 2.454369260617026 2.5034566458293668 3 0.57044482267453134
2.8470683423157501 2.9452431127404308 1.8653206380689396 1.9144080232812801 2.454369260617026 2.5525440310417071 7 0.85492012532279604
2.748893571891069 2.8470683423157501 1.8653206380689396 1.9634954084936207 2.454369260617026 2.5525440310417071 7 1.610143198043017
2.748893571891069 2.9452431127404308 1.7671458676442586 1.8653206380689396 2.454369260617026 2.5525440310417071 7 1.2756447443260082
2.8470683423157501 2.9452431127404308 1.9144080232812801 1.9634954084936207 2.3561944901923448 2.454369260617026 3 0.52391473221343232
2.8470683423157501 2.9452431127404308 1.8653206380689396 1.9144080232812801 2.4052818754046852 2.454369260617026 7 0.52538217222216177
2.8961557275280905 2.9452431127404308 1.8653206380689396 1.9144080232812801 2.3561944901923448 2.4052818754046852 4 0.50132111006283608
2.8470683423157501 2.8961557275280905 1.8653206380689396 1.9144080232812801 2.3561944901923448 2.4052818754046852 3 0.65981796049957309
2.748893571891069 2.8470683423157501 1.8653206380689396 1.9634954084936207 2.3561944901923448 2.454369260617026 3 0.74863107521548478
2.748893571891069 2.9452431127404308 1.7671458676442586 1.8653206380689396 2.3561944901923448 2.454369260617026 7 0.66655510346930757
2.748893571891069 2.9452431127404308 1.5707963267948966 1.7671458676442586 2.5525440310417071 2.748893571891069 4 0.70710678117742587
2.748893571891069 2.9452431127404308 1.6689710972195777 1.7671458676442586 2.454369260617026 2.5525440310417071 7 0.78058878395598486
2.748893571891069 2.9452431127404308 1.5707963267948966 1.6689710972195777 2.454369260617026 2.5525440310417071 4 0.92387953250313748
2.748893571891069 2.9452431127404308 1.6689710972195777 1.7671458676442586 2.3561944901923448 2.454369260617026 11 2.1380214120718963
2.748893571891069 2.9452431127404308 1.5707963267948966 1.6689710972195777 2.3561944901923448 2.454369260617026 4 0.8477590650148068
2.5525440310417071 2.748893571891069 2.1598449493429825 2.3561944901923448 2.748893571891069 3.1415926535897931 2 0.70710678117714376
2.6507188014663878 2.748893571891069 1.9634954084936207 2.1598449493429825 3.043417883165112 3.1415926535897931 2 0.67771218406106637
